"Статус сверки";"Артикул";"Номенклатура Excel";"Номенклатура 1С";"Единица Excel";"Единица 1С";"Тип Excel";"Вид номенклатуры 1С";"Тип номенклатуры 1С";"Плановая цена Excel";"Плановая цена 1С";"Дата цены 1С";"Ассортимент Excel";"Ассортимент 1С";"Группировка бренда Excel";"Группировка бренда 1С"
"OK";"OPF019_1";"OPENFACE Антивозрастная сыворотка с HPR и энзимами Retinol And All 0,2%, кг";"OPENFACE Антивозрастная сыворотка с HPR и энзимами Retinol And All 0,2%, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF020";"OPENFACE Антивозрастная сыворотка с пептидами Young Adult 30 мл";"OPENFACE Антивозрастная сыворотка с пептидами Young Adult 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF020_1";"OPENFACE Антивозрастная сыворотка с пептидами Young Adult, кг";"OPENFACE Антивозрастная сыворотка с пептидами Young Adult, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF011";"OPENFACE Антивозрастная сыворотка с ретинолом RETINOL AND ALL 0,5%, 30 мл";"OPENFACE Антивозрастная сыворотка с ретинолом RETINOL AND ALL 0,5%, 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"9.15";"9,15";"2025-12-17T16:23:50";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF011_1";"OPENFACE Антивозрастная сыворотка с ретинолом RETINOL AND ALL 0,5%, кг";"OPENFACE Антивозрастная сыворотка с ретинолом RETINOL AND ALL 0,5%, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"В разработке";"В разработке";"СТМ";"СТМ"
"OK";"OPF016";"OPENFACE Антивозрастной крем для зоны вокруг глаз с ботокс-подобными пептидами Relax Mode";"OPENFACE Антивозрастной крем для зоны вокруг глаз с ботокс-подобными пептидами Relax Mode";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF016_1";"OPENFACE Антивозрастной крем для зоны вокруг глаз с ботокс-подобными пептидами Relax Mode, кг";"OPENFACE Антивозрастной крем для зоны вокруг глаз с ботокс-подобными пептидами Relax Mode, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF014";"OPENFACE Антивозрастной крем для тела с
ретинолом Bodyguard, 30 мл";"OPENFACE Антивозрастной крем для тела с
ретинолом Bodyguard, 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"14.64";"14,64";"2025-12-17T16:23:50";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF009";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 250 мл";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 250 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"105.37";"105,37";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF009_1";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 250 мл с термоусадкой";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 250 мл с термоусадкой";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"118.27";"118,27";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF018";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 30 мл";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
